"project","data_type","habitat","source","scientific_name","kingdom","phylum","class","order","family","genus","species"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Bombycilla cedrorum","Animalia","Chordata","Aves","Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Passerina cyanea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina cyanea"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Cardinalis cardinalis","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Pheucticus ludovicianus","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Pheucticus","Pheucticus ludovicianus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Piranga olivacea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Piranga","Piranga olivacea"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Certhia americana","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia americana"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Zenaida macroura","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Corvus brachyrhynchos","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Cyanocitta cristata","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Corvus corax","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Coccyzus erythropthalmus","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Coccyzus erythropthalmus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Coccyzus americanus","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Coccyzus americanus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Spizella passerina","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Spizella","Spizella passerina"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Junco hyemalis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Junco","Junco hyemalis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Pipilo erythrophthalmus","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo erythrophthalmus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Melospiza melodia","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza melodia"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Melospiza georgiana","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Melospiza","Melospiza georgiana"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Zonotrichia albicollis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia albicollis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Carduelis tristis",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Coccothraustes vespertinus",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Haemorhous mexicanus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Haemorhous purpureus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous purpureus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Hirundo rustica","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Tachycineta bicolor","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Molothrus ater","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Quiscalus quiscula","Animalia","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus quiscula"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Agelaius phoeniceus","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dumetella carolinensis","Animalia","Chordata","Aves","Passeriformes","Mimidae","Dumetella","Dumetella carolinensis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Poecile atricapillus","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Baeolophus bicolor","Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus bicolor"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Setophaga ruticilla","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga ruticilla"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Mniotilta varia","Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta","Mniotilta varia"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica fusca",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica caerulescens",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica virens",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Wilsonia canadensis",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica pensylvanica",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Geothlypis trichas","Animalia","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis trichas"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica magnolia",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Oreothlypis ruficapilla",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Parkesia noveboracensis","Animalia","Chordata","Aves","Passeriformes","Parulidae","Parkesia","Parkesia noveboracensis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Seiurus aurocapilla","Animalia","Chordata","Aves","Passeriformes","Parulidae","Seiurus","Seiurus aurocapilla"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica pinus",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica petechia",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dendroica coronata",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Bonasa umbellus","Animalia","Chordata","Aves","Galliformes","Phasianidae","Bonasa","Bonasa umbellus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Meleagris gallopavo","Animalia","Chordata","Aves","Galliformes","Phasianidae","Meleagris","Meleagris gallopavo"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Picoides pubescens",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Picoides villosus",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Colaptes auratus","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes auratus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Dryocopus pileatus","Animalia","Chordata","Aves","Piciformes","Picidae","Dryocopus","Dryocopus pileatus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Regulus satrapa","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus satrapa"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Scolopax minor","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Scolopax","Scolopax minor"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Sitta canadensis","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta canadensis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Sitta carolinensis","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta carolinensis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Archilochus colubris","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Archilochus","Archilochus colubris"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Troglodytes hiemalis","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes hiemalis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Turdus migratorius","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Sialia sialis","Animalia","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia sialis"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Catharus guttatus","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus guttatus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Catharus ustulatus","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus ustulatus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Catharus fuscescens","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus fuscescens"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Hylocichlia mustelina",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Sayornis phoebe","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis phoebe"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Contopus virens","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Contopus","Contopus virens"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Vireo olivacea",,,,,,,
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Vireo solitarius","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo solitarius"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Aspidoscelis tigris","Animalia","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis tigris"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Uta stansburiana","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Uta","Uta stansburiana"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Lithobates catesbeiana",,,,,,,
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Dipsosaurus dorsalis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Dipsosaurus","Dipsosaurus dorsalis"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Coleonyx variegatus","Animalia","Chordata","Reptilia","Squamata","Eublepharidae","Coleonyx","Coleonyx variegatus"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Sceloporus magister","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Sceloporus","Sceloporus magister"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Urosaurus ornata",,,,,,,
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Thamnophis marcianus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis marcianus"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Callisaurus draconoides","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Callisaurus","Callisaurus draconoides"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","Trachemys","Trachemys scripta"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Crotalus atrox","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus atrox"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Anaxyrus punctatus","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus punctatus"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Lampropeltis getula","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis getula"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Apalone spinifera","Animalia","Chordata","Reptilia","Testudines","Trionychidae","Apalone","Apalone spinifera"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Urosaurus graciosus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Urosaurus","Urosaurus graciosus"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Lithobates berlandieri","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates berlandieri"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Coluber flagelum",,,,,,,
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Chrysemys picta","Animalia","Chordata","Reptilia","Testudines","Emydidae","Chrysemys","Chrysemys picta"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Cophosaurus texanus","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Cophosaurus","Cophosaurus texanus"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Anaxyrus woodhousii","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus woodhousii"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Hemidactylus turcicus","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus turcicus"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Pituophis catenifer","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pituophis","Pituophis catenifer"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Arizona elegans","Animalia","Chordata","Reptilia","Squamata","Colubridae","Arizona","Arizona elegans"
"PHOENIX","consumer","dessert","627_herp_site_observations.csv","Cyrtopodion scabrum","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","Cyrtopodion","Cyrtopodion scabrum"
"KONZA","consumer","prairie","KIC011.csv","Acanthoscelides schrankiae","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides","Acanthoscelides schrankiae"
"KONZA","consumer","prairie","KIC011.csv","Bruchus brachialis","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Bruchus","Bruchus brachialis"
"KONZA","consumer","prairie","KIC011.csv","Gibbobruchus mimus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Gibbobruchus","Gibbobruchus mimus"
"KONZA","consumer","prairie","KIC011.csv","Agrilaxia flavimana","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilaxia","Agrilaxia flavimana"
"KONZA","consumer","prairie","KIC011.csv","Bidion rapidum","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Bembidion","Bembidion rapidum"
"KONZA","consumer","prairie","KIC011.csv","Calleida punctata","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Calleida","Calleida punctata"
"KONZA","consumer","prairie","KIC011.csv","Lebia atriventralis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Lebia pumila","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Lebia","Lebia pumila"
"KONZA","consumer","prairie","KIC011.csv","Pasimachus californicus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Pasimachus","Pasimachus californicus"
"KONZA","consumer","prairie","KIC011.csv","Pasimachus elongatus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Pasimachus","Pasimachus elongatus"
"KONZA","consumer","prairie","KIC011.csv","Stenolophus conjunctus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Amphionycha marginata",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Hemicrana marginata",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Tetraopes tetraophthalmus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Tetraopes texanus","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Tetraopes","Tetraopes texanus"
"KONZA","consumer","prairie","KIC011.csv","Typoccrus simulatus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Aphothona texana",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Calligrapha scalaris","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Calligrapha","Calligrapha scalaris"
"KONZA","consumer","prairie","KIC011.csv","Chaetocnema pulicaria","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Chaetocnema","Chaetocnema pulicaria"
"KONZA","consumer","prairie","KIC011.csv","Chelymorpha cassidea","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Chelymorpha","Chelymorpha cassidea"
"KONZA","consumer","prairie","KIC011.csv","Chrysodina globosa",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Colaspis brunnea","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Colaspis","Colaspis brunnea"
"KONZA","consumer","prairie","KIC011.csv","Colaspis farosa",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Cryptocephalus notatus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","Cryptocephalus notatus"
"KONZA","consumer","prairie","KIC011.csv","Cryptocephalus venustus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","Cryptocephalus venustus"
"KONZA","consumer","prairie","KIC011.csv","Diabrotica cristata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Diabrotica","Diabrotica cristata"
"KONZA","consumer","prairie","KIC011.csv","Diabrotica undecimpunctata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Diabrotica","Diabrotica undecimpunctata"
"KONZA","consumer","prairie","KIC011.csv","Disonycha alternata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Disonycha","Disonycha alternata"
"KONZA","consumer","prairie","KIC011.csv","Epitrix parrula",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Galerucella americana",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Galerucella kalmiae",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Glyptina atraventris",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Glyptina spuria","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Glyptina","Glyptina spuria"
"KONZA","consumer","prairie","KIC011.csv","Graphops macrassitus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Labidomera clivicollis","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Labidomera","Labidomera clivicollis"
"KONZA","consumer","prairie","KIC011.csv","Lema collasis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Lema lecontei",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Lema simulans","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Oulema","Oulema simulans"
"KONZA","consumer","prairie","KIC011.csv","Longitarsus melanurus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Longitarsus","Longitarsus melanurus"
"KONZA","consumer","prairie","KIC011.csv","Longitarsus subrufus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Longitarsus","Longitarsus subrufus"
"KONZA","consumer","prairie","KIC011.csv","Microrhopala excavata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Microrhopala","Microrhopala excavata"
"KONZA","consumer","prairie","KIC011.csv","Myochrous squamosus","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Myochrous","Myochrous squamosus"
"KONZA","consumer","prairie","KIC011.csv","Nodonota puncticolis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Oedionychis gibbitarsa",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Oedionychis thyamoides",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Pachybrachys atomarius",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Pachybrachys autolycus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Pachybrachys carbonarius",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Pachybrachys luridus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Pachybrachys othonus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Pachybrachys sobrinus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Paria thorocita",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Phyllecthrus gentilis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Physalis pumila","Plantae","","Magnoliopsida","Solanales","Solanaceae","Physalis","Physalis pumila"
"KONZA","consumer","prairie","KIC011.csv","Physonota unipunctata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Physonota","Physonota unipunctata"
"KONZA","consumer","prairie","KIC011.csv","Saxinis omogena",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Systena hudsonias","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Systena","Systena hudsonias"
"KONZA","consumer","prairie","KIC011.csv","Zygogramma suturalis","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Zygogramma","Zygogramma suturalis"
"KONZA","consumer","prairie","KIC011.csv","Chariessa pilosa","Animalia","Arthropoda","Insecta","Coleoptera","Cleridae","Chariessa","Chariessa pilosa"
"KONZA","consumer","prairie","KIC011.csv","Hydnocera pubecens",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Coccidula","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccidula",""
"KONZA","consumer","prairie","KIC011.csv","Cycloneda sanguinea","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Cycloneda","Cycloneda sanguinea"
"KONZA","consumer","prairie","KIC011.csv","Hyperaspis undulata","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Hyperaspis","Hyperaspis undulata"
"KONZA","consumer","prairie","KIC011.csv","Hypodamia convergens",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Hypodamia parenthesis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Scymnus americanus","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus","Scymnus americanus"
"KONZA","consumer","prairie","KIC011.csv","Dearthus longulus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Lecophilus fasciatus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Lecophilus maculatus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Lecophilus proximus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Thermonectus ornoticollis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Aeolis amabilis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Troposternus lateralis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Epicauta fabricii","Animalia","Arthropoda","Insecta","Coleoptera","Meloidae","Epicauta","Epicauta fabricii"
"KONZA","consumer","prairie","KIC011.csv","Epicauta pennsylvannica",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Collops quadrimaculatus",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Mordellistena nigricans",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Mordellistena pustulata",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Mordellistena sericans","Animalia","Arthropoda","Insecta","Coleoptera","Mordellidae","Mordellistena","Mordellistena sericans"
"KONZA","consumer","prairie","KIC011.csv","Mordellistena","Animalia","Arthropoda","Insecta","Coleoptera","Mordellidae","Mordellistena",""
"KONZA","consumer","prairie","KIC011.csv","Phalacrus politus","Animalia","Arthropoda","Insecta","Coleoptera","Phalacridae","Phalacrus","Phalacrus politus"
"KONZA","consumer","prairie","KIC011.csv","Stilbus apicalis",,,,,,,
"KONZA","consumer","prairie","KIC011.csv","Necrodes surinamensis","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Necrodes","Necrodes surinamensis"
"KONZA","consumer","prairie","KIC011.csv","Necrophila americana","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Necrophila","Necrophila americana"
"KONZA","consumer","prairie","KIC011.csv","Nicrophorus carolinus","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Nicrophorus","Nicrophorus carolinus"
"KONZA","consumer","prairie","KIC011.csv","Nicrophorus marginatus","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Nicrophorus","Nicrophorus marginatus"
"KONZA","consumer","prairie","KIC011.csv","Nicrophorus orbicollis","Animalia","Arthropoda","Insecta","Coleoptera","Silphidae","Nicrophorus","Nicrophorus orbicollis"
